DataSet,Clusters,Silhouette,Davies-Bouldin
1,2,0.867656262506425,0.27305643119740425
2,5,0.6640923348674692,0.4051791565783051
3,6,0.6601805989243622,0.5079444301298395
4,8,0.6002763498925232,0.512893368667243
5,3,0.7678283001578231,0.581773142918831
6,10,0.5453003228450393,0.4927194704543492
7,2,0.8901220349751114,0.23306896896340004
8,2,0.9022705043350074,0.45984219887020505
9,2,0.9538472565735551,0.14222458943440885
10,2,0.9755928740879599,0.2241399938488155
11,4,0.8748424343238673,0.241391489008697
12,2,0.7550327753251154,0.5623769905361814
13,2,0.8990802815261616,0.046447205380873574
14,2,0.9082012605930341,0.380788833809056
15,2,0.9795311073020644,0.011942071843416389
16,2,0.9609429187103845,0.026406121488912034
17,3,0.9374987390220855,0.2520641391997631
18,4,0.9338197698680322,0.2176206582141418
19,3,0.9433295164182632,0.283336313353224
20,3,0.9487094764979507,0.29852644421267366
21,2,0.9774799756250054,0.3550313608020739
22,3,0.8662383884856729,0.06773405216095507
23,2,0.7235542148188803,0.5962566800509987
24,2,0.6812600203424912,0.5843783814512938
25,2,0.9553294512380018,0.028471367556175638
26,2,0.9007991210366074,0.23918319073568617
27,2,0.9090554102106184,0.2857704235742409
28,2,0.9570973446903468,0.027908834867945546
29,7,0.5166882238226171,0.30740790811932095
30,2,0.8609179613488581,0.07740692315993045
31,2,0.8799244585670567,0.6383231430047703
32,3,0.9886424096943675,0.18252954146577124
33,3,0.8846190866657132,0.4812511008743243
34,4,0.7972609864440272,0.5168649514279096
35,2,0.9851391967258268,0.10639423492307841
36,2,0.6389780816128195,0.7215975430103271
37,3,0.5997402145937772,0.4826808378163849
38,2,0.8783444254908341,0.20661443528109383
39,2,0.6940598885183491,0.4751661136907908
40,8,0.4801609959600138,0.18306306973927025
41,7,0.5341324271677383,0.3745966169301588
42,8,0.528752182921833,0.5276099781408325
43,4,0.6750121830436454,0.5009957038999121
44,2,0.871641152316791,0.22505582442658775
45,5,0.4953648638079059,0.422624004722039
46,2,0.8909617036306832,0.06127526549418812
47,2,0.9773849732745646,0.015682860310468706
48,3,0.9699633106459719,0.014537708733014382
49,3,0.9697890678425783,0.014973634322507886
50,2,0.9282493385853536,0.030997375006142712
51,5,0.5969462405887798,0.31876211350934114
52,2,0.923720740819128,0.20869871587860447
53,2,0.9268506323216285,0.2455422857430527
54,2,0.8777885457581494,0.4836871455676847
55,5,0.8308863902040604,0.46001513179058773
56,3,0.7075686182034526,0.37659675264454173
